,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
442,442,3,government,157057.0,,yes,,2,9.0,6.0,2.0,1.0,1,condominium,10.0,Selangor,1.0,10532.0,887233.0,,Reject,7
443,443,3,government,208718.0,13.0,no,normal,2,,,2.0,1.0,2,condominium,10.0,Selangor,,4483.0,1340997.0,7708.0,Accept,9
444,444,3,government,468628.0,22.0,yes,gold,2,9.0,,2.0,1.0,1,condominium,10.0,Selangor,2.0,7964.0,789774.0,13467.0,Accept,8
445,445,3,government,475669.0,18.0,no,gold,2,9.0,6.0,,,1,condominium,,Selangor,2.0,,1321968.0,14993.0,Accept,6
446,446,3,government,219201.0,,yes,normal,2,9.0,6.0,,1.0,1,condominium,10.0,Selangor,1.0,3660.0,947713.0,,Accept,6
447,447,3,government,709323.0,17.0,no,platinum,2,9.0,6.0,,1.0,1,condominium,10.0,Selangor,2.0,11517.0,,15543.0,Reject,7
448,448,3,government,602768.0,12.0,yes,gold,2,9.0,6.0,2.0,1.0,3,,10.0,Selangor,2.0,,713852.0,16778.0,Accept,7
449,449,3,government,,21.0,no,gold,2,9.0,6.0,2.0,1.0,1,,10.0,Selangor,,11888.0,846607.0,,Reject,6
450,450,3,government,394932.0,19.0,yes,normal,2,9.0,6.0,,1.0,2,condominium,10.0,Selangor,1.0,5672.0,897630.0,11064.0,Reject,7
451,451,3,government,691004.0,17.0,no,gold,2,,,2.0,,3,condominium,10.0,Selangor,2.0,4804.0,701567.0,15773.0,Accept,7
452,452,3,government,522386.0,23.0,yes,normal,2,,6.0,2.0,1.0,3,,10.0,Selangor,2.0,11956.0,1101078.0,,Accept,8
453,453,3,government,,21.0,no,gold,2,9.0,6.0,2.0,,1,condominium,10.0,Selangor,2.0,11284.0,,13603.0,Reject,6
454,454,3,government,544474.0,16.0,yes,platinum,2,,6.0,2.0,,3,condominium,,Selangor,,5593.0,,10400.0,Accept,9
455,455,3,government,,15.0,no,normal,2,9.0,,,1.0,1,,10.0,Selangor,1.0,7933.0,837163.0,18184.0,Accept,6
456,456,3,government,647431.0,,yes,,2,9.0,6.0,2.0,1.0,3,condominium,10.0,Selangor,2.0,,1336520.0,,Accept,6
457,457,3,government,208115.0,,no,normal,2,9.0,6.0,2.0,1.0,1,condominium,10.0,Selangor,,11678.0,,,Accept,9
458,458,3,government,701419.0,,yes,gold,2,9.0,,,1.0,3,condominium,10.0,Selangor,3.0,7577.0,1291956.0,,Accept,6
459,459,3,government,290341.0,24.0,no,normal,2,9.0,,2.0,,2,condominium,10.0,Selangor,,4906.0,,8139.0,Accept,7
460,460,3,government,637762.0,12.0,yes,gold,2,,6.0,,1.0,1,condominium,10.0,Selangor,,3956.0,,11549.0,Reject,6
461,461,3,government,442416.0,15.0,no,normal,2,,6.0,2.0,1.0,1,condominium,10.0,Selangor,,6095.0,,11967.0,Accept,9
462,462,3,government,641854.0,10.0,yes,platinum,2,9.0,6.0,2.0,,3,condominium,10.0,Selangor,3.0,7798.0,1317772.0,,Accept,9
463,463,3,government,143318.0,21.0,no,normal,2,,6.0,,,2,condominium,10.0,Selangor,3.0,7823.0,1367669.0,,Accept,7
464,464,3,government,519979.0,,yes,gold,2,9.0,6.0,2.0,1.0,1,condominium,10.0,Selangor,3.0,5998.0,1210864.0,9774.0,Accept,6
465,465,3,government,384045.0,16.0,no,gold,2,,6.0,2.0,,3,condominium,10.0,Selangor,2.0,3819.0,1156516.0,11596.0,Accept,6
466,466,3,government,519747.0,17.0,yes,normal,2,,,,1.0,3,condominium,10.0,Selangor,3.0,10516.0,1065760.0,11130.0,Accept,7
467,467,3,government,694540.0,,no,gold,2,9.0,,2.0,1.0,3,condominium,10.0,Selangor,,6996.0,1203682.0,,Accept,8
468,468,3,government,,12.0,yes,normal,2,,6.0,2.0,1.0,1,condominium,10.0,Selangor,3.0,11954.0,724599.0,18838.0,Accept,6
469,469,3,government,625501.0,,no,platinum,2,9.0,,,1.0,1,,10.0,Selangor,,8667.0,1034452.0,,Accept,8
470,470,3,government,426410.0,21.0,yes,normal,2,9.0,6.0,,1.0,2,condominium,10.0,Selangor,3.0,5121.0,640465.0,,Accept,8
471,471,3,government,,21.0,no,normal,2,9.0,6.0,2.0,1.0,1,condominium,,Selangor,,7738.0,1192009.0,9068.0,Reject,8
472,472,3,government,456686.0,13.0,yes,normal,2,9.0,6.0,2.0,,2,condominium,10.0,Selangor,3.0,,925882.0,14329.0,Accept,7
473,473,3,government,162874.0,10.0,no,normal,2,9.0,6.0,2.0,,1,condominium,10.0,Selangor,1.0,8508.0,1071384.0,15994.0,Accept,6
474,474,3,government,333224.0,22.0,yes,normal,2,,6.0,2.0,1.0,2,condominium,10.0,Selangor,,4120.0,869607.0,10014.0,Accept,9
475,475,3,government,209032.0,14.0,no,platinum,2,,6.0,2.0,1.0,3,condominium,10.0,Selangor,1.0,,1434722.0,18597.0,Accept,6
476,476,3,government,531354.0,22.0,yes,gold,2,9.0,6.0,2.0,1.0,3,condominium,10.0,Selangor,,,1212861.0,15299.0,Accept,6
477,477,3,government,,,no,normal,2,,6.0,2.0,1.0,1,condominium,10.0,Selangor,1.0,,907709.0,18307.0,Accept,6
478,478,3,government,533646.0,13.0,yes,normal,2,9.0,6.0,2.0,1.0,3,condominium,10.0,Selangor,3.0,7581.0,1352257.0,14352.0,Accept,8
479,479,3,government,217049.0,12.0,no,normal,2,,6.0,2.0,1.0,3,condominium,10.0,Selangor,2.0,11240.0,,17682.0,Accept,7
480,480,3,government,726982.0,18.0,yes,gold,2,,,,1.0,1,condominium,10.0,Selangor,2.0,,1420038.0,,Accept,7
481,481,3,government,474446.0,22.0,no,normal,2,,6.0,2.0,1.0,1,condominium,10.0,Selangor,1.0,7981.0,1214793.0,,Accept,7
482,482,3,government,226397.0,17.0,yes,,2,,6.0,2.0,,2,condominium,,Selangor,1.0,9410.0,1300989.0,8936.0,Accept,9
483,483,3,government,561941.0,17.0,no,normal,2,,6.0,2.0,1.0,1,condominium,10.0,Selangor,3.0,6778.0,1073115.0,18602.0,Accept,6
484,484,3,government,753676.0,18.0,yes,normal,2,,6.0,2.0,1.0,3,condominium,10.0,Selangor,,11922.0,,,Accept,8
485,485,3,government,,18.0,no,normal,2,,,,,3,condominium,10.0,Selangor,3.0,9080.0,1057068.0,19586.0,Accept,7
486,486,3,government,194797.0,24.0,yes,gold,2,9.0,6.0,,1.0,1,condominium,10.0,Selangor,2.0,4499.0,1105912.0,,Accept,8
487,487,3,government,,24.0,no,gold,2,9.0,6.0,2.0,,3,condominium,10.0,Selangor,,10169.0,1231339.0,,Accept,8
488,488,3,government,,11.0,yes,normal,2,,6.0,2.0,,1,condominium,10.0,Selangor,,,1403934.0,8231.0,Accept,8
489,489,3,government,,18.0,no,normal,2,9.0,6.0,,1.0,2,condominium,10.0,Selangor,1.0,5198.0,900080.0,17118.0,Reject,8
490,490,3,government,141014.0,24.0,yes,,2,9.0,6.0,2.0,,1,condominium,,Selangor,,6028.0,641256.0,17736.0,Accept,6
491,491,3,government,,12.0,no,gold,2,9.0,6.0,,,2,condominium,10.0,Selangor,3.0,,850119.0,10445.0,Accept,6
492,492,3,government,,23.0,yes,gold,2,9.0,6.0,,1.0,1,condominium,10.0,Selangor,3.0,4591.0,970057.0,,Accept,6
493,493,3,government,253540.0,14.0,no,platinum,2,,6.0,2.0,1.0,2,condominium,10.0,Selangor,,,513586.0,10070.0,Accept,8
494,494,3,government,,,yes,gold,2,,,2.0,1.0,1,condominium,10.0,Selangor,1.0,10490.0,1355577.0,19485.0,Accept,8
495,495,3,government,,21.0,no,gold,2,9.0,6.0,,1.0,3,condominium,10.0,Selangor,1.0,4700.0,1197350.0,,Accept,8
496,496,3,government,636982.0,18.0,yes,normal,2,9.0,6.0,,1.0,3,condominium,10.0,Selangor,3.0,3827.0,422575.0,12758.0,Accept,9
497,497,3,government,688952.0,22.0,no,normal,2,9.0,6.0,2.0,,3,condominium,10.0,Selangor,3.0,10517.0,478604.0,15228.0,Reject,9
498,498,3,government,606599.0,19.0,yes,normal,2,9.0,6.0,2.0,,2,condominium,10.0,Selangor,,,559694.0,11603.0,Accept,7
499,499,3,government,795508.0,23.0,no,gold,2,,6.0,2.0,1.0,1,condominium,,Selangor,3.0,4348.0,,12682.0,Accept,6
500,500,6,Self_Employed,246693.0,13.0,yes,gold,2,,2.0,3.0,1.0,2,,12.0,Selangor,1.0,4669.0,929644.0,14764.0,Accept,6
501,501,6,Self_Employed,367598.0,23.0,no,gold,2,10.0,2.0,3.0,1.0,2,,12.0,Selangor,3.0,9920.0,1153051.0,,Accept,7
502,502,6,Self_Employed,143418.0,15.0,yes,normal,2,10.0,,3.0,,3,condominium,12.0,Selangor,3.0,,873180.0,9641.0,Accept,9
503,503,6,Self_Employed,291507.0,17.0,no,platinum,2,10.0,2.0,,1.0,3,condominium,12.0,Selangor,,11751.0,933744.0,,Accept,7
504,504,6,Self_Employed,397702.0,11.0,yes,platinum,2,10.0,2.0,3.0,1.0,2,condominium,12.0,Selangor,2.0,10907.0,,,Reject,9
505,505,6,Self_Employed,643545.0,,no,gold,2,10.0,2.0,,1.0,1,condominium,12.0,Selangor,1.0,6115.0,610880.0,17531.0,Accept,9
506,506,6,Self_Employed,650381.0,23.0,yes,normal,2,10.0,2.0,,1.0,3,condominium,12.0,Selangor,1.0,6040.0,668565.0,15637.0,Accept,9
507,507,6,Self_Employed,,,no,normal,2,10.0,2.0,,1.0,2,condominium,12.0,Selangor,2.0,10010.0,1174226.0,9585.0,Accept,6
508,508,6,Self_Employed,670777.0,,yes,normal,2,10.0,2.0,3.0,1.0,1,condominium,12.0,Selangor,,,938494.0,7617.0,Accept,9
509,509,6,Self_Employed,498581.0,15.0,no,gold,2,10.0,2.0,,1.0,2,condominium,12.0,Selangor,,7778.0,1084600.0,,Accept,8
510,510,6,Self_Employed,200412.0,17.0,yes,,2,10.0,2.0,3.0,1.0,1,condominium,12.0,Selangor,3.0,10941.0,463336.0,16753.0,Reject,6
511,511,6,Self_Employed,650628.0,,no,,2,10.0,2.0,,1.0,3,condominium,12.0,Selangor,3.0,,1408922.0,,Accept,7
512,512,6,Self_Employed,,10.0,yes,gold,2,10.0,,,1.0,2,condominium,12.0,Selangor,1.0,8477.0,913624.0,,Accept,6
513,513,6,Self_Employed,284865.0,18.0,no,,2,10.0,2.0,,,2,condominium,12.0,Selangor,,,911094.0,,Accept,8
514,514,6,Self_Employed,364202.0,23.0,yes,normal,2,,2.0,3.0,,2,condominium,,Selangor,2.0,,1193008.0,,Reject,9
515,515,6,Self_Employed,520712.0,19.0,no,normal,2,,,,1.0,1,condominium,12.0,Selangor,2.0,10593.0,1219639.0,11242.0,Reject,6
516,516,6,Self_Employed,,,yes,gold,2,,2.0,3.0,1.0,1,condominium,12.0,Selangor,2.0,4871.0,770163.0,9674.0,Accept,8
517,517,6,Self_Employed,557295.0,,no,platinum,2,10.0,2.0,3.0,,2,condominium,12.0,Selangor,2.0,11763.0,523207.0,18044.0,Reject,6
518,518,6,Self_Employed,134898.0,20.0,yes,normal,2,10.0,,,1.0,2,condominium,12.0,Selangor,3.0,6960.0,1358631.0,19223.0,Reject,8
519,519,6,Self_Employed,465082.0,24.0,no,normal,2,10.0,2.0,3.0,1.0,1,condominium,12.0,Selangor,,3619.0,1429810.0,13355.0,Accept,8
520,520,6,Self_Employed,248846.0,20.0,yes,normal,2,10.0,2.0,3.0,1.0,2,condominium,12.0,Selangor,1.0,11495.0,,,Accept,6
521,521,6,Self_Employed,477737.0,24.0,no,normal,2,10.0,,3.0,,3,condominium,12.0,Selangor,1.0,8148.0,730928.0,11400.0,Accept,7
522,522,6,Self_Employed,120388.0,10.0,yes,normal,2,,2.0,3.0,1.0,1,condominium,12.0,Selangor,3.0,7291.0,949299.0,19685.0,Accept,8
523,523,6,Self_Employed,,,no,normal,2,10.0,,3.0,1.0,1,condominium,12.0,Selangor,1.0,12483.0,1332625.0,12572.0,Accept,7
524,524,6,Self_Employed,,19.0,yes,gold,2,10.0,2.0,3.0,,1,condominium,12.0,Selangor,3.0,,1297039.0,,Accept,9
525,525,6,Self_Employed,411784.0,,no,normal,2,10.0,,3.0,1.0,2,condominium,,Selangor,1.0,10591.0,,16278.0,Reject,6
526,526,6,Self_Employed,316730.0,10.0,yes,gold,2,,2.0,3.0,,2,condominium,12.0,Selangor,3.0,10312.0,,12222.0,Accept,8
527,527,6,Self_Employed,791212.0,24.0,no,normal,2,,2.0,,1.0,1,,12.0,Selangor,1.0,9145.0,1280910.0,,Accept,9
528,528,6,Self_Employed,207142.0,19.0,yes,gold,2,10.0,,,,3,condominium,12.0,Selangor,,4354.0,712757.0,,Accept,9
529,529,6,Self_Employed,160214.0,,no,normal,2,10.0,2.0,3.0,1.0,1,,12.0,Selangor,1.0,10416.0,1079158.0,,Accept,9
530,530,6,Self_Employed,215961.0,14.0,yes,,2,10.0,2.0,3.0,1.0,2,condominium,12.0,Selangor,,6010.0,954276.0,16230.0,Accept,9
531,531,6,Self_Employed,286479.0,,no,platinum,2,10.0,2.0,3.0,1.0,2,condominium,12.0,Selangor,1.0,5061.0,,14640.0,Accept,6
532,532,6,Self_Employed,448239.0,17.0,yes,,2,10.0,,,1.0,3,condominium,12.0,Selangor,2.0,,,,Accept,6
533,533,6,Self_Employed,,14.0,no,platinum,2,10.0,2.0,3.0,1.0,3,condominium,12.0,Selangor,1.0,4716.0,1003659.0,9817.0,Accept,9
534,534,6,Self_Employed,782219.0,21.0,yes,,2,10.0,2.0,3.0,1.0,3,condominium,12.0,Selangor,1.0,7087.0,1128574.0,,Accept,6
535,535,6,Self_Employed,712099.0,21.0,no,platinum,2,,2.0,,1.0,3,condominium,12.0,Selangor,1.0,,1197394.0,17578.0,Accept,8
536,536,6,Self_Employed,606457.0,18.0,yes,platinum,2,10.0,2.0,3.0,1.0,3,condominium,12.0,Selangor,1.0,11076.0,929075.0,7989.0,Accept,7
537,537,6,Self_Employed,671230.0,16.0,no,normal,2,10.0,2.0,3.0,1.0,3,condominium,12.0,Selangor,,,,12219.0,Accept,7
538,538,6,Self_Employed,357244.0,18.0,yes,normal,2,10.0,2.0,,1.0,1,condominium,12.0,Selangor,1.0,5451.0,817005.0,,Reject,6
539,539,6,Self_Employed,519310.0,13.0,no,normal,2,10.0,2.0,3.0,1.0,1,condominium,12.0,Selangor,,7390.0,529608.0,13804.0,Accept,6
540,540,6,Self_Employed,166550.0,18.0,yes,normal,2,10.0,2.0,,,2,condominium,12.0,Selangor,3.0,,1034392.0,11264.0,Accept,6
541,541,6,Self_Employed,106169.0,,no,normal,2,10.0,2.0,,1.0,2,condominium,,Selangor,,5101.0,,9887.0,Reject,7
542,542,6,Self_Employed,146698.0,11.0,yes,normal,2,10.0,,3.0,1.0,2,condominium,,Selangor,,8196.0,435883.0,14958.0,Accept,8
543,543,6,Self_Employed,,,no,platinum,2,,2.0,3.0,,2,condominium,12.0,Selangor,1.0,,599392.0,,Reject,6
544,544,6,Self_Employed,213723.0,13.0,yes,normal,2,10.0,,,,2,,12.0,Selangor,3.0,8120.0,1159326.0,8982.0,Reject,7
545,545,6,Self_Employed,353363.0,12.0,no,normal,2,,,,,2,condominium,12.0,Selangor,1.0,10831.0,845673.0,,Accept,7
546,546,6,Self_Employed,117609.0,23.0,yes,normal,2,10.0,2.0,3.0,1.0,2,condominium,12.0,Selangor,,6636.0,,10363.0,Accept,9
547,547,6,Self_Employed,587966.0,21.0,no,gold,2,,,3.0,,3,condominium,12.0,Selangor,1.0,10307.0,439209.0,9777.0,Accept,8
548,548,6,Self_Employed,,12.0,yes,normal,2,10.0,2.0,3.0,1.0,1,,12.0,Selangor,,4784.0,1141490.0,12164.0,Reject,7
549,549,6,Self_Employed,221424.0,,no,platinum,2,10.0,2.0,3.0,1.0,1,condominium,,Selangor,,,765549.0,,Accept,6
550,550,6,Self_Employed,257780.0,14.0,yes,gold,2,,2.0,3.0,1.0,1,condominium,,Selangor,3.0,4873.0,1246948.0,11216.0,Accept,9
551,551,6,Self_Employed,799628.0,11.0,no,normal,2,10.0,,,,1,condominium,12.0,Selangor,1.0,,663890.0,,Accept,6
552,552,6,Self_Employed,113127.0,14.0,yes,normal,2,10.0,2.0,3.0,1.0,2,condominium,12.0,Selangor,1.0,11669.0,602912.0,,Accept,6
553,553,6,Self_Employed,589622.0,18.0,no,gold,2,10.0,,,1.0,3,condominium,12.0,Selangor,1.0,,1169422.0,,Reject,9
554,554,6,Self_Employed,520746.0,13.0,yes,gold,2,10.0,2.0,,1.0,3,condominium,,Selangor,1.0,4350.0,487554.0,,Reject,9
555,555,6,Self_Employed,656728.0,,no,normal,2,10.0,,3.0,,1,condominium,12.0,Selangor,,6373.0,786886.0,13537.0,Accept,6
556,556,6,Self_Employed,696776.0,21.0,yes,normal,2,,2.0,,1.0,1,condominium,12.0,Selangor,2.0,5703.0,948593.0,,Accept,7
557,557,6,Self_Employed,500088.0,11.0,no,gold,2,10.0,2.0,3.0,1.0,2,condominium,12.0,Selangor,3.0,7258.0,559355.0,,Accept,8
558,558,6,Self_Employed,493249.0,,yes,gold,2,,,3.0,1.0,1,condominium,12.0,Selangor,1.0,8764.0,537160.0,,Reject,9
559,559,6,Self_Employed,276176.0,,no,normal,2,10.0,2.0,3.0,,1,condominium,12.0,Selangor,1.0,9123.0,1226412.0,12326.0,Accept,8
560,560,6,Self_Employed,,14.0,yes,gold,2,10.0,2.0,,,3,condominium,12.0,Selangor,,11398.0,,9948.0,Accept,7
561,561,6,Self_Employed,491654.0,21.0,no,normal,2,10.0,2.0,3.0,,2,condominium,12.0,Selangor,2.0,5091.0,1158476.0,,Reject,8
562,562,6,Self_Employed,305599.0,13.0,yes,gold,2,10.0,,,,1,condominium,12.0,Selangor,1.0,8383.0,1203547.0,15089.0,Accept,7
563,563,6,Self_Employed,698200.0,21.0,no,normal,2,10.0,2.0,3.0,1.0,2,,12.0,Selangor,3.0,10094.0,457058.0,11401.0,Reject,9
564,564,6,Self_Employed,352461.0,,yes,normal,2,,2.0,3.0,1.0,2,condominium,12.0,Selangor,1.0,5111.0,1265882.0,13173.0,Accept,6
565,565,6,Self_Employed,204930.0,,no,gold,2,10.0,,,1.0,1,condominium,12.0,Selangor,2.0,7248.0,1279428.0,11378.0,Accept,7
566,566,6,Self_Employed,625975.0,14.0,yes,,2,10.0,2.0,,,2,condominium,12.0,Selangor,,9796.0,806645.0,7907.0,Reject,8
567,567,6,Self_Employed,101773.0,18.0,no,gold,2,10.0,2.0,3.0,1.0,2,condominium,12.0,Selangor,2.0,10562.0,697555.0,,Reject,9
568,568,6,Self_Employed,,23.0,yes,gold,2,10.0,2.0,3.0,1.0,3,condominium,12.0,Selangor,2.0,5720.0,1353992.0,,Accept,6
569,569,6,Self_Employed,111851.0,12.0,no,normal,2,10.0,2.0,,1.0,1,condominium,12.0,Selangor,1.0,5842.0,1250931.0,13359.0,Accept,8
570,570,6,Self_Employed,761903.0,22.0,yes,gold,2,10.0,2.0,3.0,,3,condominium,12.0,Selangor,2.0,5889.0,1442036.0,,Reject,6
571,571,6,Self_Employed,486906.0,10.0,no,normal,2,,,3.0,1.0,3,condominium,12.0,Selangor,1.0,12397.0,1084361.0,19974.0,Reject,9
572,572,6,Self_Employed,,10.0,yes,gold,2,10.0,,,1.0,1,condominium,12.0,Selangor,3.0,,,10861.0,Accept,9
573,573,6,Self_Employed,120318.0,19.0,no,gold,2,,2.0,,1.0,3,condominium,12.0,Selangor,2.0,8874.0,1270989.0,8533.0,Reject,8
574,574,6,Self_Employed,571759.0,24.0,yes,gold,2,10.0,,3.0,1.0,1,condominium,12.0,Selangor,2.0,5065.0,,15772.0,Reject,8
575,575,6,Self_Employed,,18.0,no,gold,2,,2.0,,1.0,1,,,Selangor,1.0,5396.0,704200.0,11669.0,Accept,8
576,576,6,Self_Employed,535218.0,22.0,yes,normal,2,,2.0,,,2,condominium,12.0,Selangor,3.0,5277.0,1298507.0,7696.0,Accept,8
577,577,6,Self_Employed,487714.0,12.0,no,normal,2,10.0,2.0,3.0,1.0,1,condominium,,Selangor,1.0,6921.0,981334.0,8254.0,Accept,7
578,578,6,Self_Employed,604448.0,22.0,yes,platinum,2,10.0,2.0,,1.0,1,,12.0,Selangor,1.0,11597.0,1446427.0,19486.0,Accept,7
579,579,6,Self_Employed,163397.0,18.0,no,gold,2,10.0,,3.0,1.0,2,condominium,,Selangor,2.0,8867.0,814597.0,17978.0,Reject,7
580,580,6,Self_Employed,760898.0,21.0,yes,gold,2,10.0,2.0,3.0,1.0,1,condominium,12.0,Selangor,1.0,11779.0,892300.0,,Reject,6
581,581,6,Self_Employed,,10.0,no,platinum,2,10.0,2.0,,1.0,2,condominium,12.0,Selangor,1.0,11812.0,738309.0,19627.0,Accept,9
582,582,6,Self_Employed,,15.0,yes,normal,2,,,3.0,,2,condominium,12.0,Selangor,2.0,,500117.0,12069.0,Reject,7
583,583,6,Self_Employed,597143.0,21.0,no,gold,2,10.0,2.0,,1.0,2,condominium,12.0,Selangor,,7361.0,447998.0,,Accept,8
584,584,6,Self_Employed,407561.0,20.0,yes,gold,2,10.0,2.0,,,1,condominium,12.0,Selangor,3.0,8255.0,,16672.0,Accept,6
585,585,6,Self_Employed,640528.0,21.0,no,gold,2,10.0,2.0,3.0,1.0,1,,,Selangor,,4841.0,514139.0,12290.0,Accept,6
586,586,6,Self_Employed,444232.0,15.0,yes,platinum,2,,2.0,3.0,1.0,2,condominium,,Selangor,1.0,,1269704.0,,Accept,6
587,587,6,Self_Employed,191141.0,19.0,no,gold,2,10.0,,3.0,,1,condominium,,Selangor,2.0,11659.0,459835.0,,Accept,8
588,588,6,Self_Employed,,,yes,normal,2,,2.0,3.0,,3,condominium,12.0,Selangor,,4835.0,1280341.0,11601.0,Accept,6
589,589,6,Self_Employed,252131.0,10.0,no,platinum,2,,2.0,,,3,condominium,12.0,Selangor,,6258.0,642398.0,,Reject,6
590,590,6,Self_Employed,,19.0,yes,normal,2,,,3.0,,2,condominium,12.0,Selangor,1.0,4011.0,876987.0,,Accept,7
591,591,6,Self_Employed,481693.0,14.0,no,gold,2,10.0,2.0,3.0,,2,condominium,12.0,Selangor,,4544.0,1268362.0,,Accept,9
592,592,6,Self_Employed,485201.0,11.0,yes,normal,2,10.0,,3.0,,1,condominium,,Selangor,3.0,6029.0,654237.0,8051.0,Accept,7
593,593,6,Self_Employed,217631.0,18.0,no,gold,2,,,3.0,,1,condominium,,Selangor,1.0,10762.0,824670.0,18085.0,Accept,8
594,594,6,Self_Employed,571064.0,13.0,yes,normal,2,10.0,2.0,3.0,1.0,3,condominium,,Selangor,3.0,4639.0,1351462.0,,Accept,9
595,595,6,Self_Employed,157102.0,21.0,no,gold,2,10.0,2.0,3.0,,2,condominium,12.0,Selangor,,6838.0,502893.0,18094.0,Reject,7
596,596,6,Self_Employed,438651.0,13.0,yes,gold,2,,2.0,3.0,,3,condominium,12.0,Selangor,3.0,7097.0,1114558.0,,Accept,9
597,597,6,Self_Employed,217296.0,18.0,no,normal,2,10.0,,3.0,,1,condominium,12.0,Selangor,2.0,12078.0,1220529.0,19717.0,Accept,9
598,598,6,Self_Employed,651792.0,12.0,yes,gold,2,,2.0,,1.0,3,condominium,12.0,Selangor,,,1044126.0,9102.0,Accept,6
599,599,6,Self_Employed,699339.0,15.0,no,platinum,2,,2.0,,,3,,12.0,Selangor,1.0,5022.0,1246219.0,,Accept,7
600,600,4,employee,191980.0,19.0,yes,normal,2,11.0,5.0,3.0,3.0,2,condominium,10.0,Selangor,,4672.0,1084870.0,8833.0,Reject,8
601,601,4,employee,794279.0,14.0,no,gold,2,11.0,,3.0,3.0,2,condominium,10.0,Selangor,3.0,6052.0,727223.0,12542.0,Accept,9
602,602,4,employee,174217.0,15.0,yes,gold,2,11.0,5.0,3.0,3.0,2,condominium,10.0,Selangor,3.0,4758.0,1259443.0,17014.0,Reject,7
603,603,4,employee,351879.0,21.0,no,gold,2,11.0,5.0,3.0,,3,condominium,,Selangor,1.0,10727.0,559009.0,11302.0,Reject,9
604,604,4,employee,422686.0,14.0,yes,gold,2,11.0,,3.0,3.0,1,condominium,10.0,Selangor,3.0,9097.0,,17204.0,Accept,8
605,605,4,employee,259411.0,14.0,no,normal,2,11.0,5.0,,3.0,1,condominium,10.0,Selangor,,11609.0,503237.0,10098.0,Reject,6
606,606,4,employee,135765.0,20.0,yes,normal,2,,,3.0,,3,condominium,10.0,Selangor,2.0,6668.0,1366780.0,13098.0,Accept,6
607,607,4,employee,,16.0,no,gold,2,11.0,5.0,3.0,3.0,3,,10.0,Selangor,1.0,7415.0,1003190.0,,Accept,6
608,608,4,employee,693519.0,13.0,yes,normal,2,11.0,5.0,3.0,,2,condominium,,Selangor,2.0,,1215403.0,7611.0,Reject,9
609,609,4,employee,614113.0,,no,normal,2,,5.0,,,1,condominium,,Selangor,3.0,9332.0,1030615.0,8000.0,Accept,7
610,610,4,employee,666159.0,10.0,yes,gold,2,11.0,5.0,3.0,,3,condominium,,Selangor,3.0,9282.0,1426709.0,8205.0,Accept,6
611,611,4,employee,539990.0,,no,platinum,2,11.0,5.0,3.0,,1,condominium,10.0,Selangor,2.0,9735.0,1400765.0,13224.0,Accept,6
612,612,4,employee,121616.0,18.0,yes,normal,2,11.0,5.0,,,2,condominium,10.0,Selangor,2.0,10960.0,421251.0,12227.0,Reject,6
613,613,4,employee,316588.0,,no,gold,2,11.0,5.0,3.0,3.0,3,condominium,10.0,Selangor,,,804894.0,7614.0,Accept,9
614,614,4,employee,401795.0,,yes,normal,2,11.0,5.0,,3.0,1,condominium,10.0,Selangor,2.0,,569987.0,,Accept,6
615,615,4,employee,325776.0,13.0,no,normal,2,11.0,5.0,,3.0,2,condominium,10.0,Selangor,3.0,11075.0,1049173.0,,Accept,7
616,616,4,employee,442615.0,17.0,yes,gold,2,11.0,5.0,3.0,,2,condominium,10.0,Selangor,1.0,4449.0,1291072.0,13089.0,Accept,8
617,617,4,employee,758621.0,12.0,no,normal,2,11.0,5.0,,3.0,2,condominium,,Selangor,1.0,4686.0,624411.0,,Accept,7
618,618,4,employee,,23.0,yes,platinum,2,11.0,5.0,,3.0,1,condominium,10.0,Selangor,2.0,7824.0,808669.0,13491.0,Accept,8
619,619,4,employee,251879.0,,no,,2,11.0,5.0,3.0,,2,condominium,10.0,Selangor,1.0,10672.0,470683.0,,Accept,7
620,620,4,employee,729265.0,12.0,yes,normal,2,,5.0,,3.0,3,condominium,10.0,Selangor,3.0,,1283187.0,,Reject,7
621,621,4,employee,543417.0,20.0,no,normal,2,,,3.0,3.0,2,condominium,10.0,Selangor,,,584462.0,10326.0,Accept,6
622,622,4,employee,,10.0,yes,normal,2,11.0,,3.0,3.0,1,condominium,10.0,Selangor,3.0,4971.0,1141813.0,,Accept,7
623,623,4,employee,270087.0,13.0,no,gold,2,11.0,5.0,3.0,3.0,3,condominium,10.0,Selangor,,,,16626.0,Reject,7
624,624,4,employee,638027.0,,yes,normal,2,11.0,5.0,3.0,3.0,1,condominium,,Selangor,,11559.0,,,Reject,7
625,625,4,employee,744346.0,21.0,no,normal,2,,5.0,3.0,3.0,1,condominium,10.0,Selangor,,,934811.0,,Reject,6
626,626,4,employee,,10.0,yes,gold,2,11.0,5.0,3.0,3.0,1,condominium,10.0,Selangor,3.0,12013.0,973818.0,16520.0,Accept,7
